用户id,注册时间,性别,年龄,学历,所属省份,所属地市,下载渠道,游戏职业,游戏等级,最近一次登录时间
C42367,2019/5/6,女,30,大专,吉林省,吉林市,小米应用商店,法师,青铜,2019/5/30
C31059,2017#11#1,女,16,大专,重庆市,重庆市,华为应用商店,刺客,青铜,2019/7/6
C30007,2019/1/31,男,22,本科,江苏省,苏州市,vivo应用商店,刺客,青铜,2019/3/11
C22659,2018/1/1,男,19,初中及以下,江苏省,南通市,其他,剑士,青铜,2018/9/18
C47901,2019/1/21,男,21,大专,四川省,雅安市,oppo应用商店,法师,青铜,2019/4/27
C49793,2019/2/9,男,26,本科,广东省,佛山市,华为应用商店,法师,青铜,2019/5/3
C26858,2017#12#30,女,20,硕士,四川省,成都市,华为应用商店,法师,青铜,2019/10/27
C32990,2017#11#1,男,31,硕士,广东省,中山市,华为应用商店,法师,青铜,2019/3/1
C25640,2017#7#22,女,29,大专,江苏省,南京市,vivo应用商店,法师,青铜,2018/8/23
C31822,2017#10#1,男,23,大专,北京市,北京市,华为应用商店,法师,青铜,2019/7/22
C30118,2018/4/17,女,37,大专,北京市,北京市,vivo应用商店,刺客,青铜,2019/4/22
C35441,2017#11#2,男,23,大专,广东省,肇庆市,应用宝,法师,青铜,2019/7/31
C49476,2018/11/28,男,14,初中及以下,江苏省,宿迁市,应用宝,法师,白银,2019/9/18
C23370,2019/4/18,女,36,高中/中专,山东省,枣庄市,vivo应用商店,刺客,青铜,2019/5/15
C39316,2018/5/7,男,32,大专,陕西省,宝鸡市,华为应用商店,刺客,青铜,2018/7/20
C22373,2017#9#21,男,23,大专,重庆市,重庆市,应用宝,法师,青铜,2018/10/29
C51099,2017#10#31,女,26,初中及以下,广东省,惠州市,华为应用商店,法师,白银,2018/7/15
C44861,2019/6/7,女,26,大专,重庆市,重庆市,华为应用商店,法师,青铜,2019/9/6
C52271,2017#7#11,男,23,大专,广东省,深圳市,应用宝,剑士,青铜,2017/9/18
C27402,2018/8/21,女,25,大专,广西壮族自治区,北海市,应用宝,法师,青铜,2018/11/14
C38333,2017#10#31,女,26,大专,山东省,莱芜市,其他,刺客,青铜,2018/6/10
C37153,2017#10#26,女,32,大专,陕西省,咸阳市,应用宝,剑士,青铜,2018/2/15
C30549,2018/7/1,男,17,初中及以下,江苏省,南通市,应用宝,刺客,黄金,2018/8/15
C21318,2019/5/6,女,16,大专,浙江省,宁波市,vivo应用商店,法师,青铜,2019/7/27
C52590,2018/9/24,男,22,大专,浙江省,杭州市,华为应用商店,法师,青铜,2018/12/4
C46870,2018/10/27,男,26,大专,上海市,上海市,vivo应用商店,法师,青铜,2019/5/24
C30945,2018/1/10,女,25,本科,安徽省,合肥市,华为应用商店,法师,青铜,2018/12/3
C31552,2017#11#4,男,31,大专,吉林省,通化市,vivo应用商店,法师,青铜,2019/5/28
C52160,2018/5/24,男,18,大专,陕西省,西安市,vivo应用商店,刺客,青铜,2018/8/26
C42915,2018/10/29,男,24,大专,陕西省,安康市,华为应用商店,法师,青铜,2019/2/17
C39371,2019/3/7,女,14,初中及以下,湖北省,武汉市,oppo应用商店,剑士,青铜,2019/6/4
C31858,2018/9/20,女,26,硕士,浙江省,杭州市,小米应用商店,剑士,青铜,2018/11/2
C24792,2017#10#26,女,31,初中及以下,四川省,绵阳市,oppo应用商店,法师,青铜,2018/12/18
C37808,2018/8/16,男,19,大专,江苏省,淮安市,华为应用商店,剑士,青铜,2019/6/21
C49487,2017#7#17,男,13,初中及以下,广东省,广州市,华为应用商店,刺客,青铜,2018/7/29
C43843,2018/9/19,男,21,高中/中专,北京市,北京市,小米应用商店,法师,白银,2019/1/3
C52366,2017#10#4,男,15,初中及以下,福建省,福州市,oppo应用商店,刺客,青铜,2018/1/30
C48972,2018/6/4,女,14,初中及以下,山东省,临沂市,应用宝,剑士,青铜,2019/2/8
C48543,2018/9/15,女,14,初中及以下,福建省,厦门市,小米应用商店,刺客,青铜,2019/4/17
C50459,2018/8/29,男,14,初中及以下,江苏省,苏州市,APP Store,刺客,青铜,2018/11/6
C31699,2018/1/16,男,22,本科,安徽省,合肥市,华为应用商店,剑士,黄金,2018/9/10
C32565,2018/9/11,女,17,高中/中专,河北省,保定市,小米应用商店,法师,青铜,2019/8/10
C41684,2018/1/1,男,27,大专,四川省,乐山市,oppo应用商店,法师,青铜,2018/5/30
C29585,2018/5/17,男,14,初中及以下,江西省,南昌市,vivo应用商店,法师,青铜,2019/8/28
C29465,2018/8/26,女,31,高中/中专,重庆市,重庆市,应用宝,法师,青铜,2019/6/13
C38187,2018/2/12,男,25,高中/中专,湖北省,黄石市,oppo应用商店,法师,黄金,2018/6/2
C28898,2017#7#10,女,34,初中及以下,辽宁省,盘锦市,vivo应用商店,法师,青铜,2018/10/21
C40419,2018/4/29,男,33,大专,云南省,普洱市,oppo应用商店,剑士,青铜,2019/1/28
C51698,2018/6/3,女,15,初中及以下,河北省,秦皇岛市,华为应用商店,刺客,青铜,2018/10/17
C49030,2018/3/31,男,34,大专,湖北省,黄石市,vivo应用商店,法师,青铜,2018/12/29
C46396,2017#12#16,男,16,高中/中专,江苏省,苏州市,华为应用商店,法师,青铜,2019/7/29
C33003,2017#10#9,男,21,高中/中专,河北省,邯郸市,oppo应用商店,法师,青铜,2019/2/9
C35693,2018/2/13,男,27,大专,浙江省,嘉兴市,应用宝,刺客,青铜,2018/7/1
C25022,2017#9#29,男,19,高中/中专,湖北省,武汉市,oppo应用商店,法师,青铜,2018/2/21
C27904,2017#12#24,男,20,高中/中专,四川省,资阳市,华为应用商店,刺客,青铜,2018/6/4
C45350,2017#9#23,男,31,大专,北京市,北京市,oppo应用商店,法师,青铜,2018/3/22
C35419,2018/8/21,男,30,硕士,河南省,新乡市,oppo应用商店,刺客,黄金,2019/3/19
C34845,2018/10/5,女,13,初中及以下,上海市,上海市,应用宝,剑士,黄金,2019/3/25
C38832,2019/1/13,女,24,大专,安徽省,阜阳市,华为应用商店,刺客,青铜,2019/2/10
C45331,2018/1/16,男,25,本科,海南省,海南省直辖,华为应用商店,法师,白银,2018/8/7
C42162,2018/8/26,女,23,本科,安徽省,滁州市,华为应用商店,法师,黄金,2019/3/12
C24173,2019/1/13,男,21,大专,浙江省,绍兴市,华为应用商店,剑士,白银,2019/3/5
C40173,2017#11#8,女,17,高中/中专,浙江省,宁波市,oppo应用商店,剑士,青铜,2018/7/5
C22475,2018/8/26,女,35,本科,湖北省,荆州市,华为应用商店,法师,星耀,2019/1/12
C39537,2019/6/30,女,19,大专,广东省,佛山市,华为应用商店,剑士,青铜,2019/8/28
C32459,2017#9#27,男,30,大专,江苏省,苏州市,其他,刺客,青铜,2019/3/22
C39635,2019/2/3,男,16,大专,广东省,江门市,oppo应用商店,刺客,王者,2019/8/6
C33332,2019/2/3,男,31,初中及以下,山西省,朔州市,应用宝,法师,青铜,2019/2/23
C48262,2019/4/7,男,23,本科,安徽省,黄山市,应用宝,剑士,白银,2019/6/10
C46523,2018/11/22,男,23,本科,福建省,厦门市,应用宝,法师,青铜,2019/11/29
C48732,2019/6/27,男,41,硕士,内蒙古自治区,呼伦贝尔市,APP Store,剑士,青铜,2019/7/8
C32475,2017#10#22,男,13,初中及以下,安徽省,蚌埠市,应用宝,刺客,青铜,2018/7/18
C21082,2019/3/16,男,24,大专,山西省,临汾市,应用宝,刺客,青铜,2019/6/9
C52460,2018/11/1,男,34,高中/中专,黑龙江省,双鸭山市,vivo应用商店,法师,白银,2019/3/27
C44642,2018/9/11,女,20,硕士,广东省,东莞市,华为应用商店,法师,青铜,2018/9/11
C44389,2017#12#24,男,23,大专,四川省,达州市,小米应用商店,刺客,白银,2019/5/21
C35378,2017#9#27,男,22,本科,青海省,海东市,APP Store,法师,青铜,2019/1/17
C35706,2018/3/19,男,15,初中及以下,江苏省,淮安市,华为应用商店,法师,青铜,2018/8/27
C50335,2018/3/30,男,18,高中/中专,江西省,南昌市,华为应用商店,剑士,白银,2018/11/20
C35228,2019/5/31,男,20,博士及以上,山东省,滨州市,应用宝,剑士,青铜,2019/7/18
C40099,2018/11/21,男,31,大专,湖北省,襄阳市,APP Store,法师,白银,2019/8/7
C48356,2019/1/13,男,24,本科,山东省,济南市,华为应用商店,法师,青铜,2019/2/18
C47375,2018/2/13,男,18,高中/中专,广东省,深圳市,oppo应用商店,法师,青铜,2018/9/5
C29949,2017#10#20,男,21,本科,内蒙古自治区,呼伦贝尔市,APP Store,刺客,青铜,2018/3/3
C45375,2018/1/19,男,13,初中及以下,四川省,南充市,小米应用商店,刺客,星耀,2018/1/21
C48192,2019/1/13,女,18,高中/中专,江苏省,苏州市,应用宝,法师,青铜,2019/3/2
C28553,2018/6/7,男,31,大专,河北省,承德市,vivo应用商店,法师,青铜,2018/11/29
C34206,2019/2/3,女,30,大专,广西壮族自治区,南宁市,华为应用商店,剑士,白银,2019/3/5
C50810,2019/4/30,女,14,初中及以下,江苏省,淮安市,oppo应用商店,剑士,青铜,2019/7/25
C37412,2017#9#21,男,21,本科,重庆市,重庆市,APP Store,法师,青铜,2019/6/2
C41674,2017#7#22,男,20,大专,北京市,北京市,APP Store,法师,青铜,2018/2/25
C51211,2017#9#15,男,25,大专,甘肃省,武威市,vivo应用商店,剑士,青铜,2019/2/18
C52610,2017#12#30,男,13,初中及以下,浙江省,金华市,APP Store,刺客,青铜,2018/3/12
C35093,2017#10#22,女,14,初中及以下,江苏省,泰州市,华为应用商店,剑士,白银,2019/9/18
C25907,2017#8#17,男,13,初中及以下,河南省,新乡市,应用宝,剑士,青铜,2018/4/26
C40023,2018/6/20,男,26,大专,浙江省,温州市,APP Store,法师,青铜,2019/10/17
C31578,2018/12/10,男,13,初中及以下,重庆市,重庆市,vivo应用商店,法师,青铜,2019/2/21
C29227,2018/9/15,男,29,硕士,广东省,深圳市,oppo应用商店,法师,青铜,2019/2/19
C43521,2019/1/19,男,40,大专,湖南省,郴州市,vivo应用商店,法师,白银,2019/4/15
C21168,2017#9#21,男,24,硕士,广东省,佛山市,APP Store,剑士,青铜,2019/4/15
C26767,2017#9#7,女,26,本科,浙江省,台州市,oppo应用商店,法师,青铜,2019/8/1
C47362,2018/2/22,女,31,高中/中专,山东省,临沂市,华为应用商店,刺客,白银,2018/7/3
C29032,2017#12#24,女,39,大专,云南省,楚雄彝族自治州,应用宝,剑士,青铜,2019/3/2
C32761,2019/4/10,女,20,博士及以上,重庆市,重庆市,oppo应用商店,刺客,青铜,2019/4/22
C32258,2018/7/15,男,16,初中及以下,湖北省,恩施土家族苗族自治州,华为应用商店,剑士,青铜,2018/10/6
C48299,2017#10#22,男,32,本科,新疆维吾尔自治区,昌吉回族自治州,华为应用商店,剑士,青铜,2018/10/27
C33513,2017#12#24,男,39,大专,河北省,邢台市,应用宝,法师,青铜,2019/11/9
C37295,2018/11/11,男,32,高中/中专,广西壮族自治区,桂林市,小米应用商店,剑士,青铜,2019/5/19
C37107,2018/1/10,男,21,本科,江苏省,南京市,vivo应用商店,剑士,青铜,2019/8/26
C46375,2017#10#16,男,21,大专,福建省,宁德市,应用宝,法师,青铜,2018/9/21
C44833,2018/5/24,男,25,本科,安徽省,蚌埠市,APP Store,剑士,青铜,2019/6/27
C31762,2017#12#23,男,24,大专,河南省,南阳市,APP Store,法师,青铜,2019/4/3
C27500,2018/2/19,女,16,大专,江苏省,苏州市,小米应用商店,法师,青铜,2018/2/24
C39966,2019/2/8,女,16,初中及以下,吉林省,吉林市,应用宝,法师,青铜,2019/5/19
C21522,2018/9/12,男,17,高中/中专,甘肃省,庆阳市,华为应用商店,剑士,青铜,2019/3/10
C34770,2018/2/12,男,18,大专,湖北省,恩施土家族苗族自治州,华为应用商店,剑士,星耀,2018/10/29
C52508,2018/1/25,男,21,本科,上海市,上海市,oppo应用商店,法师,青铜,2018/11/24
C34616,2017#8#26,男,23,大专,山东省,济南市,APP Store,法师,青铜,2019/7/24
C43328,2017#11#10,男,16,大专,广西壮族自治区,玉林市,oppo应用商店,法师,白银,2019/4/14
C32125,2018/3/19,男,25,本科,云南省,昆明市,华为应用商店,刺客,青铜,2019/1/1
C48687,2019/4/27,男,22,本科,上海市,上海市,华为应用商店,刺客,青铜,2019/5/29
C46925,2019/1/6,男,18,大专,安徽省,六安市,APP Store,法师,青铜,2019/2/5
C34126,2017#10#12,女,25,硕士,重庆市,重庆市,vivo应用商店,法师,青铜,2019/11/15
C29582,2019/1/19,男,18,高中/中专,湖南省,株洲市,APP Store,法师,白银,2019/1/21
C37487,2018/2/14,女,19,初中及以下,辽宁省,朝阳市,应用宝,剑士,青铜,2018/6/11
C30834,2019/3/19,男,22,大专,福建省,厦门市,小米应用商店,法师,白银,2019/9/25
C30121,2017#9#29,男,29,大专,上海市,上海市,APP Store,刺客,青铜,2019/7/5
C45315,2018/2/28,男,23,大专,山西省,大同市,华为应用商店,法师,青铜,2018/5/22
C42278,2017#8#4,女,21,大专,浙江省,杭州市,应用宝,刺客,青铜,2018/12/3
C37196,2018/12/10,男,29,本科,四川省,绵阳市,APP Store,刺客,青铜,2019/11/27
C23875,2019/2/5,男,22,大专,河南省,许昌市,华为应用商店,剑士,青铜,2019/4/17
C52304,2017#11#15,女,28,高中/中专,湖北省,襄阳市,oppo应用商店,法师,青铜,2017/11/19
C39326,2018/3/28,男,29,高中/中专,广东省,广州市,华为应用商店,剑士,青铜,2018/3/28
C41399,2018/3/2,男,25,大专,陕西省,咸阳市,华为应用商店,剑士,青铜,2018/7/14
C40586,2019/1/14,女,12,初中及以下,重庆市,重庆市,oppo应用商店,法师,黄金,2019/10/20
C30888,2019/3/29,男,24,博士及以上,四川省,广安市,小米应用商店,刺客,青铜,2019/4/12
C23692,2018/5/4,男,23,博士及以上,辽宁省,沈阳市,小米应用商店,法师,青铜,2019/6/3
C44636,2017#12#21,男,25,高中/中专,广东省,珠海市,vivo应用商店,法师,青铜,2019/6/11
C40111,2019/2/13,男,37,硕士,贵州省,遵义市,vivo应用商店,法师,青铜,2019/4/16
C47352,2017#8#17,男,36,高中/中专,江苏省,镇江市,华为应用商店,剑士,青铜,2018/2/14
C36007,2018/5/15,女,24,大专,山西省,太原市,vivo应用商店,法师,黄金,2018/5/20
C46778,2018/1/8,男,21,本科,黑龙江省,佳木斯市,应用宝,刺客,青铜,2019/11/29
C40687,2018/5/23,男,21,硕士,浙江省,金华市,小米应用商店,法师,青铜,2019/9/18
C36778,2019/4/30,男,16,大专,安徽省,蚌埠市,oppo应用商店,法师,青铜,2019/6/19
C34819,2018/11/21,男,31,大专,上海市,上海市,应用宝,法师,青铜,2019/5/17
C37005,2018/5/23,男,30,大专,江西省,上饶市,华为应用商店,法师,青铜,2018/8/30
C46800,2017#11#30,男,16,初中及以下,河北省,邢台市,APP Store,法师,星耀,2018/8/3
C39250,2018/9/12,男,23,大专,浙江省,丽水市,vivo应用商店,法师,青铜,2018/10/13
C47576,2018/10/15,男,18,大专,云南省,昆明市,oppo应用商店,剑士,青铜,2019/9/16
C24011,2018/5/15,男,20,高中/中专,陕西省,西安市,APP Store,刺客,青铜,2019/2/23
C36168,2017#9#7,男,16,高中/中专,重庆市,重庆市,oppo应用商店,法师,青铜,2019/10/4
C50578,2018/12/13,女,30,大专,江西省,九江市,oppo应用商店,刺客,青铜,2019/6/5
C47732,2017#10#22,男,25,大专,云南省,昆明市,APP Store,法师,青铜,2019/6/20
C46528,2018/2/14,女,25,大专,广东省,广州市,华为应用商店,法师,青铜,2018/8/8
C25011,2018/2/15,男,26,大专,内蒙古自治区,呼伦贝尔市,小米应用商店,法师,青铜,2018/6/14
C40634,2019/4/10,男,13,初中及以下,江苏省,苏州市,华为应用商店,法师,白银,2019/7/17
C50100,2017#12#11,男,20,大专,广东省,深圳市,华为应用商店,刺客,青铜,2019/1/20
C36054,2018/8/14,女,32,大专,浙江省,台州市,华为应用商店,法师,青铜,2019/5/27
C26375,2019/3/3,男,21,本科,湖北省,武汉市,oppo应用商店,刺客,青铜,2019/3/8
C51832,2017#10#30,女,16,大专,江苏省,无锡市,华为应用商店,刺客,青铜,2018/11/4
C21735,2017#9#12,男,21,初中及以下,江西省,宜春市,华为应用商店,法师,青铜,2018/6/2
C46634,2018/11/1,男,24,大专,重庆市,重庆市,应用宝,法师,青铜,2019/5/9
C28234,2017#11#1,男,33,大专,湖南省,郴州市,应用宝,剑士,青铜,2018/2/27
C26390,2017#12#24,女,31,初中及以下,浙江省,台州市,APP Store,剑士,青铜,2018/5/10
C34725,2017#7#29,男,21,大专,江苏省,苏州市,vivo应用商店,法师,青铜,2019/11/2
C40573,2018/10/5,女,16,大专,湖南省,株洲市,APP Store,法师,青铜,2019/11/4
C22692,2018/3/19,男,32,本科,四川省,成都市,小米应用商店,法师,青铜,2019/2/25
C34098,2017#12#2,男,19,大专,河北省,邯郸市,oppo应用商店,剑士,白银,2018/1/26
C40855,2018/12/10,女,14,初中及以下,江苏省,苏州市,应用宝,法师,青铜,2019/4/28
C21749,2017#11#9,男,25,高中/中专,福建省,莆田市,小米应用商店,法师,青铜,2017/11/19
C34690,2017#9#18,男,24,本科,湖北省,襄阳市,oppo应用商店,法师,青铜,2019/10/7
C25008,2017#11#23,女,27,初中及以下,浙江省,嘉兴市,应用宝,法师,青铜,2018/7/31
C33206,2017#7#11,女,18,大专,福建省,泉州市,oppo应用商店,法师,青铜,2018/4/13
C31328,2018/9/19,女,25,初中及以下,北京市,北京市,oppo应用商店,法师,青铜,2019/3/18
C50627,2018/2/19,男,33,大专,湖南省,株洲市,小米应用商店,刺客,白银,2018/9/17
C28619,2018/10/31,男,22,高中/中专,江苏省,苏州市,华为应用商店,剑士,青铜,2019/9/30
C39310,2018/12/4,男,17,初中及以下,云南省,西双版纳傣族自治州,小米应用商店,刺客,青铜,2019/3/4
C45134,2017#7#8,男,19,本科,江苏省,泰州市,APP Store,刺客,青铜,2017/12/26
C31074,2017#8#4,男,18,大专,江西省,南昌市,oppo应用商店,法师,黄金,2017/11/20
C44249,2018/1/6,男,25,大专,山西省,临汾市,应用宝,法师,青铜,2018/1/8
C45302,2018/11/5,女,14,初中及以下,广东省,东莞市,华为应用商店,法师,青铜,2019/9/12
C35765,2019/6/9,女,29,大专,安徽省,合肥市,小米应用商店,法师,青铜,2018/10/13
C41326,2019/5/10,女,19,初中及以下,云南省,昆明市,APP Store,刺客,青铜,2019/6/21
C50254,2018/2/19,女,22,高中/中专,河北省,保定市,华为应用商店,法师,青铜,2018/4/13
C50034,2018/6/10,男,41,本科,辽宁省,抚顺市,小米应用商店,刺客,青铜,2019/3/24
C23584,2017#12#29,男,24,初中及以下,安徽省,宿州市,APP Store,刺客,白银,2018/3/7
C24269,2018/2/13,男,19,高中/中专,福建省,泉州市,华为应用商店,剑士,青铜,2018/10/2
C35855,2018/8/26,女,40,大专,四川省,成都市,华为应用商店,法师,青铜,2019/8/17
C27134,2017#10#31,女,32,大专,湖南省,长沙市,oppo应用商店,法师,青铜,2019/7/12
C29727,2017#9#1,男,18,高中/中专,浙江省,宁波市,华为应用商店,法师,白银,2019/7/6
C48190,2017#8#4,女,15,初中及以下,浙江省,温州市,华为应用商店,剑士,青铜,2019/4/12
C24966,2017#10#21,男,13,初中及以下,湖北省,孝感市,oppo应用商店,剑士,青铜,2017/11/3
C48500,2018/5/1,男,23,初中及以下,河北省,承德市,华为应用商店,刺客,青铜,2018/9/5
C39500,2017#10#12,男,19,大专,安徽省,黄山市,oppo应用商店,法师,白银,2018/12/28
C37617,2017#9#14,男,15,初中及以下,河南省,洛阳市,华为应用商店,刺客,青铜,2018/8/19
C30054,2019/5/6,女,17,初中及以下,广东省,佛山市,小米应用商店,法师,青铜,2019/5/28
C48163,2017#11#23,女,22,大专,江苏省,苏州市,oppo应用商店,法师,青铜,2019/9/29
C45380,2018/1/14,男,32,大专,广东省,深圳市,APP Store,法师,青铜,2018/9/11
C32518,2018/4/17,男,29,大专,广东省,汕头市,APP Store,刺客,青铜,2018/5/18
C29300,2017#12#8,男,14,初中及以下,浙江省,宁波市,应用宝,剑士,白银,2018/10/22
C39800,2018/3/31,女,26,大专,江苏省,宿迁市,小米应用商店,法师,青铜,2019/1/11
C50561,2017#9#11,男,19,大专,重庆市,重庆市,APP Store,剑士,青铜,2019/5/8
C21995,2019/3/25,男,32,高中/中专,广东省,江门市,小米应用商店,刺客,青铜,2019/3/29
C32912,2017#11#28,女,22,大专,江苏省,泰州市,华为应用商店,剑士,白银,2019/1/21
C31148,2018/5/2,男,28,大专,陕西省,咸阳市,APP Store,剑士,黄金,2018/9/7
C23368,2017#7#31,男,20,博士及以上,江苏省,常州市,小米应用商店,法师,青铜,2019/11/19
C26803,2017#11#30,男,30,本科,江苏省,南京市,APP Store,刺客,青铜,2019/9/26
C26510,2018/10/16,男,23,大专,山西省,大同市,oppo应用商店,法师,青铜,2019/9/4
C30636,2017#10#9,女,18,高中/中专,江苏省,南通市,vivo应用商店,刺客,青铜,2018/3/1
C45432,2017#11#25,男,22,本科,贵州省,遵义市,华为应用商店,法师,青铜,2019/2/19
C52528,2018/12/7,男,22,硕士,福建省,厦门市,应用宝,剑士,白银,2019/8/22
C43476,2017#9#23,女,41,硕士,上海市,上海市,vivo应用商店,刺客,青铜,2018/4/8
C39418,2019/4/12,女,32,大专,福建省,三明市,华为应用商店,剑士,白银,2019/5/5
C39937,2018/11/28,男,31,大专,江苏省,苏州市,vivo应用商店,剑士,青铜,2019/4/12
C35813,2018/1/20,男,14,初中及以下,宁夏回族自治区,固原市,APP Store,法师,青铜,2018/10/26
C42171,2018/4/22,男,29,本科,江西省,上饶市,APP Store,刺客,青铜,2018/8/15
C46654,2017#8#14,男,33,硕士,海南省,海口市,其他,剑士,青铜,2019/1/3
C49300,2017#7#11,男,33,硕士,北京市,北京市,应用宝,法师,青铜,2018/11/22
C23913,2018/10/24,男,28,大专,江苏省,苏州市,oppo应用商店,刺客,青铜,2019/2/17
C39862,2019/2/3,女,17,高中/中专,广西壮族自治区,南宁市,应用宝,剑士,青铜,2019/4/13
C28245,2018/5/27,男,18,大专,浙江省,宁波市,vivo应用商店,刺客,青铜,2019/4/6
C37868,2019/2/8,男,23,本科,四川省,绵阳市,小米应用商店,剑士,青铜,2019/3/3
C31242,2018/12/21,女,21,初中及以下,浙江省,台州市,华为应用商店,法师,青铜,2019/10/23
C32092,2019/5/6,女,29,大专,陕西省,咸阳市,APP Store,剑士,青铜,2019/6/7
C47546,2017#8#30,男,16,大专,江西省,萍乡市,oppo应用商店,刺客,青铜,2018/4/5
C31787,2018/8/21,男,33,大专,广东省,广州市,华为应用商店,法师,青铜,2018/10/25
C23360,2018/10/31,男,32,本科,吉林省,延边朝鲜族自治州,oppo应用商店,刺客,青铜,2018/11/7
C38132,2017#12#29,男,22,大专,河南省,信阳市,华为应用商店,剑士,青铜,2018/1/4
C52787,2019/4/14,男,15,初中及以下,江苏省,宿迁市,华为应用商店,法师,青铜,2019/6/14
C31267,2017#10#20,男,18,初中及以下,广西壮族自治区,玉林市,应用宝,法师,青铜,2018/7/15
C30733,2019/5/10,男,23,硕士,湖南省,长沙市,APP Store,剑士,青铜,2019/7/14
C27959,2017#11#24,男,33,硕士,山东省,莱芜市,vivo应用商店,法师,青铜,2019/6/7
C37445,2018/6/3,男,21,初中及以下,广西壮族自治区,钦州市,vivo应用商店,刺客,青铜,2019/1/15
C33123,2017#7#17,女,30,本科,福建省,厦门市,APP Store,刺客,青铜,2017/7/23
C25184,2018/1/9,男,26,大专,北京市,北京市,APP Store,刺客,青铜,2018/3/18
C38051,2017#10#9,男,16,高中/中专,河北省,承德市,华为应用商店,法师,青铜,2019/3/19
C35916,2017#12#9,男,16,高中/中专,浙江省,宁波市,APP Store,剑士,青铜,2018/5/18
C37080,2018/11/28,男,24,大专,安徽省,亳州市,应用宝,法师,青铜,2019/8/5
C36369,2017#8#23,男,15,初中及以下,浙江省,杭州市,小米应用商店,法师,白银,2018/6/10
C27093,2017#9#23,男,14,初中及以下,浙江省,台州市,APP Store,法师,白银,2019/2/5
C36343,2017#10#1,女,42,大专,广东省,广州市,小米应用商店,法师,青铜,2018/7/14
C28355,2019/4/16,女,18,大专,湖南省,长沙市,华为应用商店,剑士,青铜,2019/7/5
C46236,2018/3/12,男,24,高中/中专,重庆市,重庆市,应用宝,法师,青铜,2018/11/28
C50882,2017#11#7,女,13,初中及以下,山东省,烟台市,应用宝,刺客,黄金,2019/1/11
C48461,2018/9/27,男,20,大专,浙江省,金华市,APP Store,刺客,青铜,2019/3/10
C23043,2018/3/13,女,24,大专,北京市,北京市,应用宝,刺客,青铜,2018/3/15
C34912,2018/5/15,男,40,本科,江苏省,常州市,华为应用商店,剑士,青铜,2019/9/24
C43215,2017#7#16,女,18,高中/中专,山东省,青岛市,应用宝,法师,青铜,2019/5/8
C39009,2017#9#20,男,23,初中及以下,江苏省,连云港市,APP Store,法师,青铜,2019/5/15
C29237,2018/4/30,男,29,高中/中专,广东省,广州市,APP Store,法师,青铜,2018/7/16
C49250,2018/12/16,男,12,初中及以下,浙江省,宁波市,应用宝,法师,青铜,2019/11/4
C42229,2019/5/24,男,27,本科,湖北省,武汉市,华为应用商店,剑士,青铜,2019/8/16
C38858,2018/11/3,男,22,大专,山东省,青岛市,小米应用商店,法师,白银,2019/11/27
C22566,2017#9#1,男,19,本科,湖南省,株洲市,应用宝,法师,黄金,2018/9/29
C26538,2019/5/6,男,23,大专,浙江省,金华市,应用宝,法师,青铜,2019/6/6
C38282,2018/11/5,男,21,博士及以上,四川省,成都市,APP Store,法师,青铜,2019/10/15
C29524,2019/4/11,男,36,高中/中专,北京市,北京市,oppo应用商店,刺客,青铜,2019/4/17
C49413,2019/5/6,女,32,高中/中专,四川省,成都市,oppo应用商店,法师,青铜,2019/7/1
C41954,2017#12#30,男,14,初中及以下,安徽省,蚌埠市,应用宝,法师,青铜,2019/11/16
C23704,2017#7#29,男,18,初中及以下,广东省,东莞市,APP Store,法师,青铜,2019/2/22
C43274,2017#8#24,男,20,初中及以下,浙江省,绍兴市,APP Store,法师,青铜,2017/9/20
C31269,2017#7#30,男,20,本科,江苏省,泰州市,应用宝,法师,白银,2018/8/7
C37056,2018/8/26,男,20,本科,江西省,抚州市,APP Store,剑士,青铜,2019/5/28
C46003,2017#11#26,男,13,初中及以下,四川省,南充市,小米应用商店,法师,青铜,2018/9/26
C40677,2017#10#5,男,33,大专,河北省,承德市,APP Store,剑士,青铜,2018/6/17
C41906,2019/1/30,男,13,初中及以下,浙江省,温州市,APP Store,法师,青铜,2019/4/26
C43025,2019/4/12,男,23,高中/中专,江苏省,宿迁市,华为应用商店,法师,青铜,2019/4/23
C28087,2017#10#27,男,26,本科,广东省,广州市,应用宝,法师,青铜,2019/5/13
C33284,2017#7#9,男,25,初中及以下,浙江省,金华市,oppo应用商店,剑士,青铜,2018/12/31
C23538,2017#11#5,男,26,本科,海南省,海南省直辖,应用宝,法师,青铜,2019/5/5
C32454,2017#7#10,男,25,本科,河南省,郑州市,oppo应用商店,法师,青铜,2019/9/22
C45471,2018/1/2,男,12,初中及以下,陕西省,安康市,华为应用商店,刺客,青铜,2018/5/4
C39448,2018/4/20,女,30,大专,湖北省,武汉市,oppo应用商店,法师,青铜,2018/12/14
C42814,2017#9#29,女,26,博士及以上,江苏省,无锡市,APP Store,法师,青铜,2018/5/27
C29525,2017#8#4,男,21,大专,山西省,大同市,应用宝,刺客,青铜,2019/5/3
C43747,2017#7#29,男,20,大专,湖南省,衡阳市,APP Store,刺客,青铜,2018/11/14
C36092,2018/1/12,男,19,大专,福建省,南平市,小米应用商店,法师,青铜,2018/3/27
C49820,2018/9/6,男,25,大专,甘肃省,兰州市,华为应用商店,法师,黄金,2019/11/5
C31321,2017#10#22,男,19,大专,湖南省,怀化市,APP Store,法师,青铜,2018/6/13
